,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0,-0.4249145974536276,-0.4777805679905588,-0.6403406897917019,0,-0.7506457484302582,0.4216527317292076,0.36253704992065616,0.5352271316160393,-0.8787373119885117,-1.0218062587974657,-0.40004666714182036,0.45116148369719106,-0.6015092463396013,21.6
1,-0.42491684872606283,-0.4777805679905588,-0.6403406897917019,0,-0.7506457484302582,1.746375969625303,-0.2705633086855181,0.5352271316160393,-0.8787373119885117,-1.0218062587974657,-0.40004666714182036,0.40804367321454793,-1.3344492314801415,34.7
2,-0.4243450255275123,-0.4777805679905588,-1.3612378190584271,0,-0.8442725449839704,1.4221308839098983,-0.814745077599814,1.0500234004454947,-0.7651953291031932,-1.1403426234543943,0.03693376906184754,0.42711297514790375,-1.4907906373124682,33.4
3,-0.42021619188128523,-0.4777805679905588,-1.3612378190584271,0,-0.8442725449839704,1.6804865939184301,-0.5159786162351023,1.0500234004454947,-0.7651953291031932,-1.1403426234543943,0.03693376906184754,0.45116148369719106,-1.1479870043406695,36.2
4,-0.4246286858543523,-0.4777805679905588,-1.3612378190584271,0,-0.8442725449839704,0.43725811018609784,-0.35592515478972125,1.0500234004454947,-0.7651953291031932,-1.1403426234543943,0.03693376906184754,0.4217100062667864,-1.165198902230467,28.7
5,-0.41805046779858596,0.08601495853385253,-0.522402509134569,0,-0.2825117656616946,-0.2875250225895155,-0.07494241136338589,0.8141789222501357,-0.5381113633325563,-0.6128558007310623,-1.6624345939524192,0.43738921007865683,-0.12961637919432212,22.9
6,-0.41171763843826054,0.08601495853385253,-0.522402509134569,0,-0.2825117656616946,-0.01009607224478298,0.9742969470007791,0.9975142750430198,-0.5381113633325563,-0.6128558007310623,-1.6624345939524192,0.45116148369719106,0.8342499026343334,27.1
7,-0.4042107705029584,0.08601495853385253,-0.522402509134569,0,-0.2825117656616946,-0.9481527105979081,1.1130099469201096,1.0593782043444135,-0.5381113633325563,-0.6128558007310623,-1.6624345939524192,0.34236052211076723,2.380452063067802,16.5
8,-0.40884839171954934,0.08601495853385253,-0.522402509134569,0,-0.2825117656616946,-0.30139647010675213,0.6115091010579157,1.2991244349197242,-0.5381113633325563,-0.6128558007310623,-1.6624345939524192,0.3432080466411384,0.5402133136836278,18.9
9,-0.4026742770659083,0.08601495853385253,-0.522402509134569,0,-0.2825117656616946,0.34535977038440535,0.9102755624226266,1.183764189854663,-0.5381113633325563,-0.6128558007310623,-1.6624345939524192,0.40475951565935886,1.0207121297738055,15.0
