,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0,-0.41783000558876604,-0.48671582222952353,-0.5963223112323806,0,-0.7398308927878934,0.1949337603046524,0.3665712386201828,0.5568972659999049,-0.8698010777678183,-0.9881069216375569,-0.30632705168777635,0.44157345731435294,-0.49464712964701474,21.6
1,-0.41783233115819707,-0.48671582222952353,-0.5963223112323806,0,-0.7398308927878934,1.2824812030165431,-0.2657901768931396,0.5568972659999049,-0.8698010777678183,-0.9881069216375569,-0.30632705168777635,0.3969840476115055,-1.2110480402082007,34.7
2,-0.41724163652271595,-0.48671582222952353,-1.3102871273448642,0,-0.8347605370336144,1.0162883080072196,-0.8093367868568381,1.076969474950925,-0.7548443794499047,-1.1068273887753757,0.11026673943159475,0.416704179666819,-1.3638615416781994,33.4
3,-0.4129765421862103,-0.48671582222952353,-1.3102871273448642,0,-0.8347605370336144,1.2283885291643817,-0.5109190402101016,1.076969474950925,-0.7548443794499047,-1.1068273887753757,0.11026673943159475,0.44157345731435294,-1.0287934054274686,36.2
4,-0.4175346582710254,-0.48671582222952353,-1.3102871273448642,0,-0.8347605370336144,0.20774518305911108,-0.3510523902207785,1.076969474950925,-0.7548443794499047,-1.1068273887753757,0.11026673943159475,0.41111680891781366,-1.0456169101764592,28.7
5,-0.4107393443935612,0.04929144012635007,-0.4795182513366778,0,-0.2651826715592857,-0.38727422931467276,-0.07039760468396726,0.8387079214574297,-0.5249309828140772,-0.5785213100120821,-1.5098202260326288,0.42733113971884934,-0.0334027077788541,22.9
6,-0.404197517584079,0.04929144012635007,-0.4795182513366778,0,-0.2651826715592857,-0.15951560256872666,0.9776171008015949,1.0239222046196046,-0.5249309828140772,-0.5785213100120821,-1.5098202260326288,0.44157345731435294,0.9087135581646231,27.1
7,-0.3964429063163157,0.04929144012635007,-0.4795182513366778,0,-0.2651826715592857,-0.9296244592534554,1.1161681974590085,1.0864201524763795,-0.5249309828140772,-0.5785213100120821,-1.5098202260326288,0.32905914830987065,2.420025068115618,16.5
8,-0.40123357934423365,0.04929144012635007,-0.4795182513366778,0,-0.2651826715592857,-0.39866216065197,0.6152526941591298,1.3286234458423012,-0.5249309828140772,-0.5785213100120821,-1.5098202260326288,0.32993559862343996,0.6213120187026996,18.9
9,-0.394855705179639,0.04929144012635007,-0.4795182513366778,0,-0.2651826715592857,0.1323001379495166,0.9136704408058658,1.2120809199756402,-0.5249309828140772,-0.5785213100120821,-1.5098202260326288,0.39358780264642373,1.0909681929453554,15.0
